topic,question,option_a,option_b,option_c,option_d,correct_answer
Enviorment,"Consider the following heavy industries:
1. Fertilizer plants
2. Oil refineries
3. Steel plants
Green hydrogen is expected to play a significant role in decarbonizing how many of the
above industries?",Only one,Only two,All three,,c
Enviorment,"Consider the following activities :
1. Spreading finely ground basalt rock on farmlands extensively
2. Increasing the alkalinity of oceans by adding lime
3. Capturing carbon dioxide released by various industries and pumping it into
abandoned subterranean mines in the form of carbonated waters
How many of the above activities are often considered and discussed for carbon capture
and sequestration?",Only one,Only two,All three,,c
Enviorment,"With reference to the role of biofilters in Recirculating Aquaculture System, consider
the following statements :
1. Biofilters provide waste treatment by removing uneaten fish feed.
2. Biofilters convert ammonia present in fish waste to nitrate.
3. Biofilters increase phosphorus as nutrient for fish in water.
How many of the statements given above are correct?",Only one,Only two,All three,,b
Enviorment,"Consider the following statements regarding mercury pollution :
1. Gold mining activity is a source of mercury pollution in the world.
2. Coal-based thermal power plants cause mercury pollution.
3. There is no known safe level of exposure to mercury.
How many of the above statements are correct?",Only one,Only two,All three,,c
Enviorment,"With reference to green hydrogen, consider the following statements :
1. It can be used directly as a fuel for internal combustion.
2. It can be blended with natural gas and used as fuel for heat or power generation.
3. It can be used in the hydrogen fuel cell to run vehicles.
How many of the above statements are correct?",Only one,Only two,All three,,c
Enviorment,"Consider the following statements :
1. In India, the Biodiversity Management Committees are key to the realization of the
objectives of the Nagoya Protocol.
2. The Biodiversity Management Committees have important functions in determining
access and benefit sharing, including the power to levy collection fees on the
access of biological resources within its jurisdiction.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,c
Enviorment,"""Climate Action Tracker"" which monitors the emission reduction pledges of different
countries is a :",Database created by coalition of research organisations,"Wing of """"International Panel of Climate Change","Committee under """"United Nations Framework Convention on Climate Change","Agency promoted and financed by United Nations Environment Programme and World
Bank",a
Enviorment,"Consider the following statements:
1. ""The Climate Group"" is an international non-profit organization that drives climate action
by building large networks and runs them.
2. The International Energy Agency in partnership with the Climate Group launched a
global initiative ""EP100"".
3. EP100 brings together leading companies committed to driving innovation in energy
efficiency and increasing competitiveness while delivering on emission reduction goals.
4. Some Indian companies are members of EP100.
5. The International Energy Agency is the Secretariat to the 'Under2 Coalition'.
Which of the statements given above are correct?","1, 2, 4 and 5","1, 3 and 4 only","2, 3 and 5 only","1, 2, 3, 4 and 5",b
Enviorment,"“If rainforests and tropical forests are the lungs of the Earth, then surely wetlands
function as its kidneys."" Which one of the following functions of wetlands best reflects the
above statement?","The water cycle in wetlands involves surface runoff subsoil percolation and
evaporation.","Algae form the nutrient base upon which fish, crustaceans, molluscs, birds, reptiles and
mammals thrive.",Wetlands play vital role in maintaining sedimentation balance and soil stabilization.,Aquatic plants absorb heavy metals and excess nutrients,d
Enviorment,"In the context of WHO Air Quality Guidelines, consider the following statements:
1. The 24-hour mean of PM2.5 should not exceed 15 µg/m³ and annual mean of PM2.5
should not exceed 5 µg/m3.
2. In a year, the highest levels of ozone pollution occur during the periods of inclement
weather.
3. PM10 can penetrate the lung barrier and enter the bloodstream.
4. Excessive ozone in the air can trigger asthma.
Which of the statements given above are correct?","1, 3 and 4",1 and 4 only,"2, 3 and 4",1 and 2 only,b
Enviorment,"With reference to ""Gucchi"" sometimes mentioned in the news, consider the following
statements:
1. It is a fungus.
2. It grows in some Himalayan forest areas.
3. It is commercially cultivated in the Himalayan foothills of north-eastern India.
Which of the statements given above is/are correct?",1 only,3 only,1 and 2,2 and 3,c
Enviorment,Which of the following is not a bird?,Golden Mahseer,Indian Nightjar,Spoonbill,White Ibis,a
Enviorment,"Which of the following are nitrogen-fixing plants?
1. Alfalfa
2. Amaranth
3. Chickpea
4. Clover
5. Purslane (Kulf","6. Spinach
Select the correct answer using the code given below:","1, 3 and 4 only","1, 3, 5 and 6 only","2, 4, 5 and 6 only",a
Enviorment,"""Biorock technology"" is talked about in which one of the following situations?",Restoration of damaged coral reefs,Development of building materials using plant residue,Identification of areas for exploration/extraction of shale gas,Providing salt licks for wild animals in forests/protected areas,a
Enviorment,"The ""Miyawaki method"" is well known for the:",Promotion of commercial farming in arid and semi-arid areas,Development of gardens using genetically modified flora,Creation of mini forests in urban areas,Harvesting wind energy on coastal areas and on sea surfaces,c
Enviorment,"Consider the following pairs:
Wetland/Lake Location
1. Hokera Wetland — Punjab
2. Renuka Wetland — Himachal Pradesh
3. Rudrasagar Lake — Tripura
4. Sasthamkotta Lake — Tamil Nadu
How many pairs given above are correctly matched?",Only one pair,Only two pairs,Only three pairs,All four pairs,b
Enviorment,'R2 Code of Practices' constitutes a tool available for promoting the adoption of,environmentally responsible practices in electronics recycling industry,"ecological management of Wetlands of International Importance under the Ramsar
Convention",sustainable practices in the cultivation of agricultural crops in degraded lands,‘Environmental Impact Assessment’ in the exploitation of natural resources,a
Enviorment,"Why is there a concern about copper smelting plants?
1. They may release lethal quantities of carbon monoxide into environment.
2. The copper slag can cause the leaching of some heavy metals into environment.
3. They may release sulphur dioxide as a pollutant.
Select the correct answer using the code given below.",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",b
Enviorment,"With reference to furnace oil, consider the following statements:
1. It is a product of oil refineries.
2. Some industries use it to generate power.
3. Its use causes sulphur emissions into environment.
Which of the statements given above are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d
Enviorment,What is blue carbon?,Carbon captured by oceans and coastal ecosystems,Carton sequestered in forest biomass and agricultural soils,Carbon contained in petroleum and natural gas,Carbon present in atmosphere,a
Enviorment,"In the nature, which of the following is/are most likely to be found surviving on a
surface without soil?
1. Fern
2. Lichen
3. Moss
4. Mushroom
Select the correct answer using the code given below.",1 and 4 only,2 only,2 and 3,"1, 3 and 4",c
Enviorment,"With reference to the ‘New York Declaration on Forests’, which of the following
statements are correct?
1. It was first endorsed at the United Nations Climate Summit in 2014.
2. It endorses a global timeline to end the loss of forests.
3. It is a legally binding international declaration.
4. It is endorsed by governments, big companies and indigenous communities.
5. India was one of the signatories at its inception.
Select the correct answer using the code given below.","1, 2 and 4","1, 3 and 5",3 and 4,2 and 5,a
Enviorment,Which one of the following is a filter feeder?,Catfish,Octopus,Oyster,Pelican,c
Enviorment,"In case of which one of the following biogeochemical cycles, the weathering of rocks
is the main source of release of nutrients to enter the cycle?",Carbon cycle,Nitrogen cycle,Phosphorus cycle,Sulphur cycle,c
Enviorment,"Which of the following are detritivores?
1. Earthworms
2. Jellyfish
3. Millipedes
4. Seahorses
5. Woodlice
Select the correct answer using the code given below.","1, 2 and 4 only","2, 3, 4 and 5 only","1, 3 and 5 only","1, 2, 3, 4 and 5",c
Enviorment,"The ‘Common Carbon Metric’, supported by UNEP, has been developed for",assessing the carbon footprint of building operations around the world,enabling commercial fanning entities around the world to enter carbon emission trading,enabling governments to assess the overall carbon footprint caused by their countries,"assessing the overall carbon foot-print caused by the use of fossil fuels by the world in
a unit time",a
Enviorment,"Which of the following have species that can establish a symbiotic relationship with
other organisms?
1. Cnidarians
2. Fungi
3. Protozoa
Select the correct answer using the code given below.",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d
Enviorment,"Consider the following statements:
Statement 1: The United Nations Capital Development Fund (UNCDF) and the Arbor Day
Foundation have recently recognized Hyderabad as 2020 Tree City of the World.
Statement 2: Hyderabad was selected for the recognition for a year following its
commitment to grow and maintain the urban forests.
Which one of the following is correct in respect of the above statements?","Both Statement 1 and Statement 2 are correct and Statement 2 is the correct
explanation for Statement 1.","Both Statement 1 and Statement 2 are correct but Statement 2 is not the correct
explanation for Statement 1.",Statement 1 is correct but Statement 2 is not correct.,Statement 1 is not correct but Statement 2 is correct.,d
Enviorment,"The vegetation of savannah consists of grassland with scattered small trees, but
extensive areas have no trees. The forest development in such areas is generally kept in
check by one or more or a combination of some conditions. Which of the following are
such conditions.
1. Burrowing animals and termites
2. Fire
3. Grazing herbivores
4. Seasonal rainfall
5. Soil properties
Select the correct answer using the code given below.",1 and 2,4 and 5,"2, 3 and 4","1, 3 and 5",c
Enviorment,"How is permaculture farming different from conventional chemical farming?
1. Permaculture farming discourages monocultural practices but in conventional
chemical farming, monoculture practices are predominant.
2. Conventional chemical farming can cause an increase in soil salinity but the
occurrence of such phenomenon is not observed in permaculture farming.
3. Conventional chemical farming is easily possible in semi-arid regions but
permaculture farming is not so easily possible in such regions.
4. Practice of mulching is very important in permaculture farming but not necessarily
so in conventional chemical farming.
Select the correct answer using the code given below.",1 and 3,"1, 2 and 4",4 only,2 and 3,b
Enviorment,"In the context of India’s preparation for Climate -Smart Agriculture, consider the
following statements:
1. The ‘Climate-Smart Village’ approach in India is a part of a project led by the
Climate Change, Agriculture and Food Security (CCAFS), an international research
programme.
2. The project of CCAFS is carried out under Consultative Group on International
Agricultural Research (CGIAR) headquartered in France.
3. The International Crops Research Institute for the Semi-Arid Tropics (ICRISAT) in
India is one of the CGIAR’s research centres.
Which of the statements given above are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d
Enviorment,"With reference to chemical fertilizers in India, consider the following statements:
1. At present, the retail price of chemical fertilizers is market-driven and not
administered by the Government.
2. Ammonia, which is an input of urea, is produced from natural gas.
3. Sulphur, which is a raw material for phosphoric acid fertilizer, is a by-product of oil
refineries.
Which of the statements given above is/are correct?",1 only,2 and 3 only,2 only,"1, 2 and 3",b
Enviorment,"With reference to India’s Desert National Park, which of the following statements are
correct?
1. It is spread over two districts.
2. There is no human habitation inside the Park.
3. It is one of the natural habitats of the Great Indian Bustard.
Select the correct answer using the code given below:",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",c
Enviorment,"Among the following Tiger Reserves, which one has the largest area under “Critical
Tiger Habitat”?",Corbett,Ranthambore,Nagarjunasagar-Srisailam,Sundarbans,c
Enviorment,"If a particular plant species is placed under Schedule VI of The Wildlife Protection Act,
1972, what is the implication?",A licence is required to cultivate that plant.,Such a plant cannot be cultivated under any circumstances.,It is a Genetically Modified crop plant.,Such a plant is invasive and harmful to the ecosystem.,a
Enviorment,"According to India’s National Policy on Biofuels, which of the following can be used as
raw materials for the production of biofuels?
1. Cassava
2. Damaged wheat grains
3. Groundnut seeds
4. Horse gram
5. Rotten potatoes
6. Sugar beet
Select the correct answer using the code given below:","1, 2, 5 and 6 only","1, 3, 4 and 6 only","2, 3, 4 and 5 only","1, 2, 3, 4, 5 and 6
Correct answers: a
Q6. Which of the following statements best describes the term ‘Social Cost of Carbon’?
It is a measure, in monetary value, of the",a
Enviorment,"Which of the following Protected Areas are located in Cauvery basin?
1. Nagarhole National Park
2. Papikonda National Park
3. Sathyamangalam Tiger Reserve
4. Wayanad Wildlife Sanctuary
Select the correct answer using the code given below:",1 and 2 only,3 and 4 only,"1, 3 and 4 only","1, 2, 3 and 4",c
Enviorment,"With reference to India's biodiversity, Ceylon frogmouth, Coppersmith barbet,
Gray-chinned miniyet and White-throated redstart are",Birds,Primates,Reptiles,Amphibians,a
Enviorment,"Which one of the following protected areas is well-known for the conservation of a
sub-species of the Indian swamp deer (Barasingh","that thrives well on hard ground and is
exclusively graminivorous?",Kanha National Park,Manas National Park,Mudumalai Wildlife Sanctuary,a
Enviorment,"Steel slag can be the material for which of the following?
1. Construction of base road
2. Improvement of agricultural soil
3. Production of cement
Select the correct answer using the code given below:",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d
Enviorment,"Which of the following are the most likely places to find the musk deer in its natural
habitat?
1. Askot Wildlife Sanctuary
2. Gangotri National Park
3. Kishanpur Wildlife Sanctuary
4. Manas National Park
Select the correct answer using the code given below:",1 and 2 only,2 and 3 only,3 and 4 only,1 and 4 only,a
Enviorment,"In rural road construction, the use of which of the following is preferred for ensuring
environmental sustainability or to reduce carbon footprint?
1. Copper slag
2. Cold mix asphalt technology
3. Geotextiles
4. Hot mix asphalt technology
5. Portland cement
Select the correct answer using the code given below:","1, 2 and 3 only","2, 3 and 4 only",4 and 5 only,1 and 5 only,a
Enviorment,"What is the use of biochar in farming?
1. Biochar can be used as a part of the growing medium in vertical farming.
2. When biochar is a part of the growing medium, it promotes the growth of
nitrogen-fixing microorganisms.
3. When biochar is a part of the growing medium, it enables the growing medium to
retain water for longer time.
Which of the statements given above is/are correct?",1 and 2 only,2 only,1 and 3 only,"1, 2 and 3",d
Enviorment,"Which one of the following National Parks lies completely in the temperate alpine
zone?",Manas National Park,Namdapha National Park,Neora Valley National Park,Valley of Flowers National Park,d
Enviorment,"Consider the following statements:
1. Asiatic lion is naturally found in India only.
2. Double-humped camel is naturally found in India only.
3. One-horned rhinoceros is naturally found in India only.
Which of the statements given above is/are correct?",1 only,2 only,1 and 3 only,"1, 2 and 3",a
Enviorment,"In the context of which of the following do some scientists suggest the use of cirrus
cloud thinning technique and the injection of sulphate aerosol into stratosphere?",Creating the artificial rains in some regions,Reducing the frequency and intensity of tropical cyclones,Reducing the adverse effects of solar wind on the Earth,Reducing the global warming,d
Enviorment,"In the context of which one of the following arc the terms ‘pyrolysis and plasma
gasification’ mentioned?",Extraction of rare earth elements,Natural gas extraction technologies,Hydrogen fuel-based automobiles,Waste-to-energy technologies,d
Enviorment,Which of the following are in Agasthyamala Biosphere Reserve?,"Neyyar, ldl Peppara and Shendurney Wildlife Sanctuaries; and Kalakad Mundanthurai
Tiger Reserve","Mudumalai, Sathyamangalam and Wayanad Wildlife Sanctuaries; and Silent Valley
National Park","Kaundinya, Gundla Brahmeswaram and Papikonda Wildlife Sanctuaries; and Mukurthi
National Park","Kawal and Sri Venkateswara Wildlife Sanctuaries; and Nagarjunasagar-Srisailam Tiger
Reserve",a
Enviorment,"Consider the following statements:
1. Some species of turtles are herbivores.
2. Some species of fish are herbivores.
3. Some species of marine mammals are herbivores.
4. Some species of snakes viviparous.
Which of the statements given above arc correct?",1 and 3 only,"2, 3 and 4 only",2 and 4 only,"1, 2, 3 and 4",d
Enviorment,"Wildlife Naturally found in
1. Blue-finned Mahseer Cauvery River
2. Irrawaddy Dolphin Chambal River
3. Rusty-spotted Cat Eastern Ghats
Which of the pairs given correctly matched?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",c
Enviorment,"Why is there a great concern about the ‘microbeads' that are released into
environment?",They are considered harmful to marine ecosystems.,They are considered to cause skin cancer in children.,They are small enough to be absorbed by crop plants in irrigated fields.,They are often found to be used as food adulterants.,a
Enviorment,"Recently, there was a growing awareness in our country about the importance of
Himalayan nettle (Girardinia diversifoli",because it is found to be a sustainable source of,anti-malarial drug,biodiesel,pulp for paper industry,d
Enviorment,"Which of the following statements are correct about the deposits of ‘methane
hydrate’?
1. Global warming might trigger the release of methane gas from these deposits.
2. Large deposits of ‘methane hydrate’ are found in Arctic Tundra and under the
seafloor.
3. Methane in atmosphere oxidizes to carbon dioxide after a decade or two.
Select the correct answer using the code given below.",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d
Enviorment,"Consider the following:
1. Carbon monoxide
2. Methane
3. Ozone
4. Sulphur dioxide
Which of the above are released into atmosphere due to the burning of crop/biomass
residue?",1 and 2 only,"2, 3 and 4 only",1 and 4 only,"1, 2, 3 and 4",d
Enviorment,"In India, the use of carbofuran, methyl parathion, phorate and triazophos is viewed
with apprehension. These chemicals are used as",pesticides in agriculture,preservatives in processed foods,fruit-ripening agents,moisturising agents in cosmetics,a
Enviorment,"Consider the following statements:
1. Under Ramsar Convention, it is mandatory on the part of the Government of India
to protect and conserve all the wetlands in the territory of India.
2. The Wetlands (Conservation and Management) Rules, 2010 were framed by the
Government of India based on the recommendations of Ramsar Convention.
3. The Wetlands (Conservation and Management) Rules, 2010 also encompass the
drainage area or catchment regions of the wetlands as determined by the authority.
Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,3 only,"1, 2 and 3",c
Enviorment,"Consider the following statements:
1. Agricultural soils release nitrogen oxides into environment.
2. Cattle release ammonia into environment.
3. Poultry industry releases reactive nitrogen compounds environment.
Which of the statements given above is/arc correct?",1 and 3 only,2 and 3 only,2 only,"1, 2 and 3",d
Enviorment,"In the context of proposals to the use of hydrogen-enriched CNG (H-CNG) as fuel for
buses in public transport, consider the following statements:
1. The main advantage of the use of H-CNG is the elimination of carbon monoxide
emissions.
2. H-CNG as fuel reduces carbon dioxide and hydrocarbon emissions.
3. Hydrogen up to one-fifth by volume can be blended with CNG as fuel for buses.
4. H-CNG makes the fuel less expensive than CNG.
Which of the statements given above is/are correct?",1 only,2 and 3 only,4 only,"1, 2, 3 and 4",b
Enviorment,Why are dewdrops not formed on a cloudy night?,Clouds absorb the radiation released from the Earth’s surface.,Clouds reflect back the Earth’s radiation.,The Earth’s surface would have low temperature on cloudy nights.,Clouds deflect the blowing wind to ground level.,b
Enviorment,"Consider the following statements:
1. As per recent amendment to the Indian Forest Act, 1927, forest dwellers have the
right to fell the bamboos grown on forest areas.
2. As per the Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of
Forest Rights) Act, 2006, bamboo is a minor forest produce.
3. The Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest
Rights) Act, 2006 allows ownership of minor forest produce to forest dwellers.
Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,3 only,"1, 2 and 3
Co rrect answer: b
Q18. Consider the following statements:
1. According to the Indian Patents Act, a biological process to create a seed can be
patented in India.
2. In India, there is no Intellectual Property Appellate Board.
3. Plant varieties are not eligible to be patented in India.
Which of the statements given above is/are correct?",c
Enviorment,"Consider the following statements:
The Environment Protection Act, 1986 empowers the Government of India to
1. state the requirement of public participation in the process of environmental
protection, and the procedure and manner in which it is sought
2. lay down the standards for emission or discharge of environmental pollutants from
various sources
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
Enviorment,"As per the Solid Waste Management Rules, 2016 in India, which one of the following
statements is correct?",Waste generator has to segregate waste into five categories.,"The Rules are applicable to notified urban local bodies, notified towns and all industrial
townships only.","The Rules provide for exact and elaborate criteria for the identification of sites for
landfills and waste processing facilities.","It is mandatory on the part of waste generator that the waste generated in one district
cannot be moved to another district.",c
Enviorment,"Consider the following statements:
1. As per law, the Compensatory Afforestation Fund Management and Planning
Authority exists at both National and State levels.
2. People’s participation is mandatory in the compensatory afforestation programmes
carried out under the Compensatory Afforestation Fund Act, 2016.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a
Enviorment,"In India, ‘extended producer responsibility’ was introduced as an important feature in
which of the following?","The Bio-medical Waste (Management and Handling) Rules, 1998","The Recycled Plastic (Manufacturing and Usage) Rules, 1999","The e-Waste (Management and Handling) Rules, 2011","The Food Safety and Standard Regulations, 2011",c
Enviorment,In which one of the following States is Pakhui Wildlife Sanctuary located?,Arunachal Pradesh,Manipur,Meghalaya,Nagaland,a
Enviorment,"Consider the following statements:
1. The definition of ""Critical Wildlife Habitat"" is incorporated in the Forest Rights Act, 2006.
2. For the first time in India, Baigas have been given Habitat Rights.
3. Union Ministry of Environment, Forest and Climate Change officially decides and
declares Habitat Rights for Primitive and Vulnerable Tribal Groups in any part of India.
Which of the statements given above is/are correct?",1 and 2 only,2 and 3 only,3 only,"1, 2 and 3",a
Enviorment,"How is the National Green Tribunal (NGT) different from the Central Pollution Control
Board (CPC","?
1. The NGT has been established by an Act whereas the CPCB has been created by an
executive order of the Government.
2. The NGT provides environmental justice and helps reduce the burden of litigation in the
higher courts whereas the CPCB promotes cleanliness of streams and wells, and aims to
improve the quality of air in the country.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,b
Enviorment,"With reference to organic farming in India, consider the following statements:
1. 'The National Programme for Organic Production' (NPOP) is operated under the
guidelines and directions of the Union Ministry of Rural Development.
2. 'The Agricultural and Processed Food Products Export Development Authority'
APED","functions as the Secretariat for the implementation of NPOP.
3. Sikkim has become India's first fully organic State.
Which of the statements given above is/are corect?",1 and 2 only,2 and 3 only,3 only,b
Enviorment,"Which of the following leaf modifications occur(s) in the desert areas to inhibit water
loss?
1. Hard and waxy leaves
2. Tiny leaves
3. Thorns instead of leaves
Select the correct answer using the code given below:",2 and 3 only,2 only,3 only,"1, 2 and 3",d
Enviorment,"Which of the following has/have shrunk immensely/dried up the recent past due to
human activities?
1. Aral Sea
2. Black Sea
3. Lake Baikal
Select the correct answer using the code given below:",1 only,2 and 3,2 only,1 and 3,a
Enviorment,With reference to the 'Global Alliance for Climate-Smart Agriculture (GACS,"', which
of the following statements is/are correct?
1. GACSA is an outcome of the Climate Summit help in Paris in 2015.
2. Membership of GACSA does not create any binding obligations.
3. India was instrumental in the creation of GACSA.
Select the correct answer using the code given below:",1 and 3 only,2 only,2 and 3 only,b
Enviorment,"With reference to the circumstances in Indian agriculture, the concept of
""Conservation Agriculture""assumes significance. Which of the following fall under the
Conservation Agriculture?
1. Avoiding the monoculture practices
2. Adopting minimum tillage
3. Avoiding the cultivation of plantation crops
4. Using crop residues to cover soil surface
5. Adopting spatial and temporal crop sequencing/crop rotations
Select the correct answer using the code given below:","1, 3 and 4","2, 3, 4 and 5","2, 4 and 5","1, 2, 3 and 5",c
Enviorment,With reference to the Genetically Modified mustard (GM mustar,"developed in India,
consider the following statements:
1. GM mustard has the genes of a soil bacterium that give the plant the property of
pest-resistance to a wide variety of pests.
2. GM mustard has the genes that allow the plant cross-pollination and hybridization.
3. GM mustard has been developed jointly by the IARI and Punjab Agricultural University.
Which of the statements given above is/are correct?",1 and 3 only,2 only,2 and 3 only,b
Enviorment,"Which of the following statements best describes """"carbon fertilization""""?","Increased plant growth due to increased concentration of carbon dioxide in the
atmosphere","Increased temperature of Earth due to increased concentration of carbon dioxide in the
atmosphere","Increased acidity of oceans as a result of increased concentration of carbon dioxide in
the atmosphere","Adaptation of all living beings on Earth to the climate change brought about by the
increased concentration of carbon dioxide in the atmosphere",a
Enviorment,"With reference to solar power production in India, consider the following statements:
1. India is the third largest in the world in the manufacture of silicon wafers used in
photovoltaic units.
2. The solar power tariffs are determined by the Solar Energy Corporation of India.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d
Enviorment,"Which of the following is/are the possible consequence/s of heavy sand mining in
river beds?
1. Decreased salinity in the river
2. Pollution of groundwater
3. Lowering of the water-table
Select the correct answer using the code given below:",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",b
Enviorment,"The Partnership for Action on Green Economy (PAGE), a UN mechanism to assist
countries transition towards greener and more inclusive economies, emerged at","The Earth Summit on Sustainable Development 2002, Johannesburg","The United Nations Conference on Sustainable Development 2012, Rio de Janeiro","The United Nations Framework Convention on Climate change 2015, Paris","The World Sustainable Development Summit 2016, New Delhi",b
Enviorment,Why is a plant called Prosopis juliflora often mentioned in the news?,Its extract is widely used in cosmetics.,It tends to reduce the biodiversity in the area in which it grows.,Its extract is used in the synthesis of pesticides.,None of these,b
Enviorment,"Consider the following statements:
1. Most of the world's coral reefs are in tropical waters.
2. More than one-third of the world's coral reefs are located in the territories of Australia,
Indonesia and Philippines.
3. Coral reefs host far more number of animal phyla than those hosted by tropical
rainforests.
Which of the statements given above is/are correct?",1 and 2 only,3 only,1 and 3 only,"1, 2 and 3",d
Enviorment,"Momentum for Change: Climate Neutral Now"""" is an initiative launched by",The Intergovernmental Panel on Climate Change,The UNEP Secretariat,The UNFCC Secretariat,The World Meteorological Organization,c
Enviorment,"With reference to ‘Global Climate Change Alliance’, which of the following statements
is/are correct?
1. It is an initiative of the European Union.
2. It provides technical and financial support to targeted developing countries to integrate
climate change into their development policies and budgets.
3. It is coordinated by World Resources Institute (WRI) and World Business Council for
Sustainable Development (WBCS",".
Select the correct answer using the code given below:",1 and 2 only,3 only,2 and 3 only,a
Enviorment,Biological Oxygen Demand (BO,is a standard criterion for,Measuring oxygen levels in blood,Computing oxygen levels in forest ecosystems,Pollution assay in aquatic ecosystems,c
Enviorment,"With reference to the role of UN-Habitat in the United Nations Programme working
towards a better urban future, which of the statements is/are correct?
1. UN-Habitat has been mandated by the United Nations General Assembly to promote
socially and environmentally sustainable towns and cities to provide adequate shelter for
all.
2. Its partners are either governments or local urban authorities only.
3. UN-Habitat contributed to the overall objective of the United Nations system to reduce
poverty and to promote access to safe drinking water and basic sanitation.
Select the correct answer using the code given below:","1, 2 and 3",1 and 3 only,2 and 3 only,1 only,b
Enviorment,"Consider the following statements:
1. Climate and Clean Air Coalition (CCA","to Reduce Short Lived Climate Pollutants is a
unique initiative of G20 group of countries.
2. The CCAC focuses on methane, black carbon and hydrofluorocarbons.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,b
Enviorment,"If you want to see gharials in their natural habitat, which one of the following is the
best place to visit?",Bhitarkanika Mangroves,Chambal River,Pulicat Lake,Deepor Beel,b
Enviorment,The term ‘M-STrIPES’ is sometimes seen in the news in the context of,Captive breeding of Wild Fauna,Maintenance of Tiger Reserves,Indigenous Satellite Navigation System,Security of National Highways,b
Enviorment,"In India, if a species of tortoise is declared protected under Schedule I of the Wildlife
Protection) Act, 1972, what does it imply?",It enjoys the same level of protection as the tiger.,"It no longer exists in the wild, a few individuals are under captive protection; and not it is
impossible to prevent its extinction.",It is endemic to a particular region of India.,Both,a
Enviorment,"Recently there was a proposal to translocate some of the lions from their habitat in
Gujarat to which one of the following sites?",Corbett National Park,Kuno Palpur Wildlife Sanctuary,Mudumalai Wildlife Sanctuary,Sariska National Park,b
Enviorment,"The term ‘Domestic Content Requirement’ is sometimes seen in the news with
reference to",Developing solar power production in our country,Granting licenses to foreign T.V. channels in our country,Exporting our food products to other countries,Permitting foreign educational institutions to set up their campuses in our country,a
Enviorment,"According to the Wildlife (Protection) Act, 1972, which of the following animals
cannot be hunted by any person except under some provisions provided by law?
1. Gharial
2. Indian wild ass
3. Wild buffalo
Select the correct answer using the code given below:",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d
Enviorment,"From the ecological point of view, which one of the following assumes importance in
being a good link between the Eastern Ghats and the Western Ghats?",Sathyamangalam Tiger Reserve,Nallamala Forest,Nagarhole National Park,Seshachalam Biosphere Reserve,a
Enviorment,"Consider the following statements in respect of Trade Related Analysis of Fauna and
Flora in Commerce (TRAFFI",":
1. TRAFFIC is a bureau under the United Nations Environment Programme (UNEP).
2. The mission of TRAFFIC is to ensure that trade in wild plants and animals is not a threat
to the conservation of nature.
Which of the above statements is/are correct?",1 only,2 only,Both 1 and 2,b
Enviorment,"In the context of mitigating the impending global warming due to anthropogenic
emissions of carbon dioxide, which of the following can be potential sites for carbon
sequestration?
1. Abandoned and uneconomic coal seams
2. Depleted oil and gas reservoirs
3. Subterranean deep saline formations
Select the correct answer using the code given below:",1 and 2 only,3 only,1 and 3 only,"1, 2 and 3",d
Enviorment,"The term ‘Intended Nationally Determined Contributions’ is sometimes seen in the
news in the context of","pledges made by the European countries to rehabilitate refugees from the war-affected
Middle East",plan of action outlined by the countries of the world to combat climate change,"capital contributed by the member countries in the establishment of Asian Infrastructure
Investment Bank","plan of action outlined by the countries of the world regarding Sustainable Development
Goals",b
Enviorment,"What is/are the importance/ importances of the ‘United Nations Convention to Combat
Desertification’?
1. It aims to promote effective action through innovative national programmes and
supportive international partnerships
2. It has a special/particular focus on South Asia and North Africa regions, and its
Secretariat facilitates the allocation of major portions of financial resources to these
regions.
3. It is committed to a bottom-up approach, encouraging the participation of local people in
combating desertification.
Select the correct answer using the code given below:",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",c
Enviorment,"In which of the following regions of India are you most likely to come across the ‘Great
Indian Hornbill’ in its natural habitat?",Sand deserts of northwest India,Higher Himalayas of Jammu and Kashmir,Salt marshes of western Gujarat,Western Ghats,d
